SRC_CELL_ID,TOTAL_SUCCESS_CALLS,TOTAL_DROP_CALLS,TOTAL_BLOCK_CALLS,TOTAL_CSFB_CALLS,TOTAL_SETUP_FAIL_CALLS,CELL_AVG_RSRP,CELL_P10_RSRP,CELL_P90_RSRP,CELL_AVG_RSRQ,CELL_AVG_TA,CELL_P90_TA,CELL_AVG_DL_THROUPUT,CELL_AVG_UL_THROUPUT,CELL_TOTAL_DL_VOLUME,CELL_TOTAL_UL_VOLUME,CELL_TOTAL_PING_PONG_HO_COUNT,TOTAL_CALLS,CELL_SUCCESS_RATE,CELL_DROP_RATE,CELL_BLOCK_RATE
147007_21,3,0,0,4,0,-104.5714285714286,-113.0,-93.0,-16.77380003247942,0.0,0.0,,,,,190511,7,0.4285714285714285,0.0,0.0
147007_22,3,0,0,0,0,-96.02103169759114,-98.3427963256836,-91.38700103759766,-16.81110000610352,35.80950164794922,37.33330154418945,1754.24925,1632.9843,849.6179999999999,183.0517,71757,3,1.0,0.0,0.0
147007_23,5,0,0,0,0,-100.5433212280273,-107.0,-91.6666030883789,-13.85332012176514,48.0,48.0,,,,,169762,5,1.0,0.0,0.0
147007_24,1,0,0,0,0,-69.5999984741211,-69.5999984741211,-69.5999984741211,-12.89999961853027,40.0,40.0,7326.069,1611.5301,17.3994,5.8417,24933,1,1.0,0.0,0.0
147007_31,8,0,0,0,0,-108.2060632705688,-113.1577987670898,-102.0158004760742,-17.24312496185303,83.0,96.0,1194.8276,1351.58835,11.202,23.3632,188964,8,1.0,0.0,0.0
147007_32,3,0,0,0,0,-99.95560201009114,-105.13330078125,-95.16210174560547,-15.75540002187093,51.33330154418945,90.6666030883789,3248.7338,1456.5972,1233.9862,253.9179,129609,3,1.0,0.0,0.0
147007_33,4,0,0,0,0,-93.87062454223633,-119.2779998779297,-81.25920104980469,-13.99262523651123,62.99922561645508,84.0,7720.053725,1440.218375,60858.9754,1982.4363,130486,4,1.0,0.0,0.0
147007_34,31,0,0,1,0,-94.52933406829834,-111.0,-83.57369995117188,-13.82012495398521,74.25672851070281,96.0,4774.968500000001,1875.981282608696,137296.9003,15629.0781,1066554,32,0.96875,0.0,0.0
147007_35,11,0,0,0,0,-89.31650057705966,-103.125,-78.6666030883789,-11.8915545723655,77.15529112382369,96.0,3051.138627272727,1641.410922222222,6129.126499999999,1954.9528,419852,11,1.0,0.0,0.0
147010_104,36242,3,0,19,0,-90.88272178985676,-99.0,-83.0,-10.8942859070127,41.81470434519039,72.0,4846.135536536233,1503.274662929064,47112583.34180143,3510726.077199923,918659619,36264,0.9993933377454225,8.272667107875579e-05,0.0
147010_11,297404,137,0,543,0,-91.27099501578743,-103.9375,-78.85710144042969,-11.45393839224744,57.84356821920597,90.6666030883789,3706.483529964798,1750.094529513068,238021343.3905264,26267676.39960216,7598396789,298084,0.9977187638383811,0.0004596019913849787,0.0
147010_12,47613,88,0,218,0,-97.45607087570309,-112.0,-80.0,-13.3455287370069,51.20867390263102,80.0,3812.305091196212,1240.875923582335,53523747.84760134,6499455.906300014,989226215,47919,0.993614224003005,0.001836432312861287,0.0
147010_13,8494,1,0,4,0,-99.01114095734322,-104.0,-93.19509887695312,-10.91452476677859,79.10832196830522,96.0,6568.541420890107,2001.866647089616,10207067.93780004,791788.0819999926,302901953,8499,0.9994116954935874,0.0001176609012825038,0.0
147010_14,311584,160,0,375,0,-87.76029129144185,-101.0,-74.5,-10.19055441413412,39.93591654843024,64.0,3721.474238295961,1493.892631455384,212864263.4664433,26381733.75640292,4982605424,312119,0.9982859101816935,0.0005126249923907228,0.0
